,translated_text
54,"Open your eyes and look carefully, the words 'Taiwan Province of China' were not added by me—did you steal my account and add them? Trying to create 'One China, One Taiwan' here—don’t think others can’t see through it. I’m warning you again not to casually delete other people’s comments; you have no sense of etiquette at all."
55,"It is not recommended to use a list for the poetry section. Just organize it a bit and list four points with asterisks. Place Wikisource and quotes side by side, don't insert them in the middle. I also think the brief biography should be removed and merged into the main biography section."
56,"Found a copy on the Academia Sinica author's website. I believe Narcotic65536 did not intend to plagiarize; the added paragraphs were compiled by himself, but some content was directly copied from source literature, making the meaning somewhat inconsistent with the context of the entry, and the cite template was not used."
57,"I seriously doubt what happened in that part of history: 'In 1962, the airport witnessed the arrival of the Boeing 747 jumbo jet capable of carrying 400 passengers.' A Boeing 747 in 1962? I'm afraid the development plan for the 747 commercial airliner hadn't even started yet."
58,"The issue with the structural configuration is that... it's too early to say. The authorities have not made any official announcements, and for a test aircraft carrier, changes are almost inevitable after sea trials, so the configuration will have to be adjusted again. Also, different people refer to different publications, so the data they come up with will vary."
59,"For the lower numbers, multiply by ten each time. If you say one hundred thousand, it's called 'yi' (hundred million), ten 'yi' is called 'zhao' (trillion), and ten 'zhao' is called 'jing'. For the middle numbers, multiply by ten thousand each time."
60,"Please do not forcibly convert Simplified Chinese to Traditional Chinese; this is a Wikipedia guideline and also an editorial courtesy. The use of 'Republic of China government' is for the sake of simplified expression, just like abbreviating 'People's Liberation Army of China' to 'PLA'."
61,"""No valid reason"" is not a reason for disqualification, and it has not been discussed. Therefore, please do not apply the disqualification template."
62,"Aside from the fact that this article has no content, whether the concept of 'transportation' is worthy of being an entry is also a question. There are the two concepts of 'traffic' and 'transport', but there is no such concept as 'traffic transport'; it is artificially created."
63,"I specifically addressed someone else, not you, so why are you jumping in? I often have to reinterpret your wording to understand your meaning, which is a bit tiring. From now on, if I don't mention you by name, there's no need to respond. It feels like when we talk, neither of us really understands the other. I'll try to chat with you less so you can relax and focus on other things."
64,"In addition, the way the article cites foreign-language sources does not comply with Wikipedia's verifiability policy on the use of non-Chinese sources, as it neither uses publicly published translations nor translates Japanese sources. Many parts also lack citations. For example: By 1929, it had basically restored its original appearance."
65,"As of February 16, 2013, the article claims that the Chinese name for Kurchatovium is 龲 (釒庫). I couldn't find any reliable sources online, so I'm very curious about where this came from."
66,"The entry has the following issues: insufficient sources, formatting problems, content contains obvious personal opinions, lacks neutrality, and has inappropriate tone or style. We earnestly request editors from various Taijiquan schools to stop adding their own opinions and damaging the entry."
67,"The Wikipedian User:JHH755, who participated in the substantial revision, had just joined Wikipedia on July 30, 2009. As a newcomer being able to write the article to such a level, I have to say it's a miracle."
68,"Then there's no problem! The other ambassador lists are handled the same way. To summarize two issues, the first is whether the list of Republic of China ambassadors to Panama is valid."
69,Some sentences have a classical Chinese feel. This elegant but abstract approach can make it easier to add file systems in the development of Windows NT.
70,"The author from Tencent News is a self-media source and not a reliable source. I have already made adjustments. If such personal experiences may deviate from the facts, just modify the wording to enhance rigor, rather than exaggerating them."
71,"To repeat, being linked is not the same as being published. Publishers own the copyright to the published content, and there is a peer review process during publication. Self-published content has not been verified by a credible third party and its accuracy is not guaranteed."
72,"(1) According to this proposal, as long as both the mainland and Taiwan participate, it can be included under the regulatory framework. It's fine not to include Hong Kong and Macau. (Besides, Macau does not participate in APEC or the Asian Development Bank, so requiring participation from all four regions is too high a standard.) (2) Agreed, it has been changed to 'participating parties'."
73,"The economic data is still not up to date. Prefecture-level cities publish annual statistical bulletins on national economic and social development, and usually also publish a statistical yearbook for the city. It is now November 2017, so the 2016 GDP can definitely be used. Many reference materials are still missing."
74,"Noticed that some new stations have been added recently, such as Shanghai Swimming Center Station. Due to uncertainties in future planning, information from various sources is also inconsistent."
75,"As far as DYK is concerned, it meets the standards. This source is really intense... It's almost like when I wrote about Cangyuan using the county annals..."
76,"""Shopping mall, or shopping center in English, is a building that is essential in a commercial center."" This sentence has a problem because it does not define the content and scope of a commercial center. Wouldn't the gathering points of nomadic peoples count as commercial centers? Those gathering points rarely have buildings, right?"
77,"According to the current completed moves, it seems that the automation technology is for a redirect page. I do not quite understand the purpose of your actions. Though daylight is nowhere to be seen, youth arrives on its own."
78,"The source of the preface will be further clarified. In my personal opinion, if even the translated name annotations are removed, then a separate paragraph about the translated names should be written in the 'Impact' section below. The annotation template has been updated, thank you for the suggestion."
79,"Richard Humenn was an original engineer of the World Trade Center, so he is considered a very reliable source. His statement: Peter Michael Ketcham is a former senior researcher at NIST and worked at NIST for 14 years."
80,"As the person responsible for cleaning up the 'Chinese media heavily reported' section, I think deleting it is quite reasonable. To be honest, such a big event is being reported by every country, and I don't think any of them are 'heavily' reporting it. Although I reluctantly changed it to 'controversy', it doesn't even qualify as a controversy."
81,"Response: Which Wikipedian can kill five at once? Sir, it's ironic that you're using your registered account status to pick on me, an IP user. You seem to not understand the difference between reverting and vandalism. First, deleting content from a page without meeting Wikipedia's guidelines is called vandalism."
82,"The logic upstairs is laughable. It is precisely because there is no guarantee of victory that measures are taken to avoid infighting, in order to increase the chances of winning. If there were a guaranteed victory, then it would be a case of 'why deliberately lose'."
83,"Just a reminder on one matter: You probably meant that the Qing Dynasty adopted the Yellow Dragon Flag as the national flag in 1888, right? In 1988, it was already the time when the People's Republic of China and the Republic of China were governing separately across the strait. The mainland was undergoing reform and opening up, and martial law had also been lifted in Taiwan Province."
84,"I also think that dialect pronunciations should be marked, as long as there is a clear source. On page 147 of the 'Directory of Place Names in Harbin City, Heilongjiang Province', the standard place name in Nangang District is written with the third tone 'gǎng', but it's probably pronounced 'gàng' in spoken language; on page 265, the standard place name in Xiangfang District is written with the second tone 'fáng'."
85,"According to the official website, the Beijing branch is the second largest in the world, covering 43,000 square meters, while the Taipei Xinzhuang branch covers 8,200 ping (27,000 square meters), so the Beijing branch is larger. Also, there is currently no reliable information stating that the Taipei branch is the largest in Asia."
86,"Regarding the response to the editing dispute: 1. The criticisms listed in the article all have multiple reliable sources and are by no means 'unreliable' content. 2. The accusations of human rights violations and authoritarianism should not be removed from the article summary, as they are important content. See the English version of the article."
87,"Why not add it? —The above unsigned comment was added by Youtaohua (talk | contributions) on September 13, 2016 (Tuesday) at 17:55."
88,"The accuracy and availability of entries and names are indeed worth discussing and should be discussed. I raised this issue with the entry over a month ago, and after half a month without any response, I made the modification."
89,"The Carte link in footnote 2 just leads to an online map page, and I even have to type in the location to know where it is. Moreover, the site doesn't even have any place name labels. I'm sorry, but I can't consider this source to meet the verifiability guidelines."
90,"Commemorating the 2555th anniversary of Confucius' birth, what's going on? From 551 BC to 2004 AD, it's 2554 years. Note that there's a one-year gap between BC and AD."
91,"Communism was introduced to China during the late Qing dynasty, as referenced in 'The Early Spread of Marxism in China and the Germination of the Sinicization of Marxist Journalism'. After the May Fourth Movement, anarchism was initially more popular. At that time, Li Dazhao organized a small club at the university, and although he also talked about Marxism, he leaned toward the Second International."
92,"Personally, I believe that perfection must include both the process and the result. The previously mentioned case of the homeless man stabbing someone to death and not being discovered had a relatively perfect outcome in the later stage, but the crime itself was unplanned and completely impulsive, involving a significant element of luck."
93,"First of all, there are a few places where too many game examples are given. Generally speaking, giving 1-3 representative games should be enough. Also, I suggest deleting the section 'Distinguishing by game type or characteristics'."
94,1. The reference format is incorrect and mixed with annotations. 2. There is no content under the politics section.
95,"1. Never seen by the naked eye. There are several possibilities for something not being visible to the naked eye, such as: non-visible light—infrared, ultraviolet, extremely high-speed movement, complete transparency, etc. But one possibility that everyone overlooks is that what is seen and what is captured in a photo are different."
96,"I believed that the large amount of content you added did not conform to the style guide and lacked reliable sources. Therefore, I kept reverting it. But after I reverted it, you added it back again."
97,"The version I translated only had UWB, without Bluetooth. That version was available two to four days before the new item was added, and could be seen around noon. I printed it out and translated it on paper."
98,"dgg32 Thank you. The annotation section has been completed, but it must be clarified that in Japanese, the annotation for 'kyudo' does not indicate the source's purpose, it is only for listing detailed information."
99,"Hobbits greatly enjoy a high-end lifestyle. The IQ of hobbits can reach as high as 180, with an average IQ of around 149. What is the source of this passage?"
100,"For 'Lia' to be changed to 'Australia', this conversion is imperative. Here are some proposed solutions: set up a public conversion group, Mainland: Australia; Taiwan and Hong Kong: Australia ==== However, this may lead to excessive conversion to 'Australia'. Therefore, it is necessary to explore the standardized usage of 'Australia' in Mainland China."
101,"I believe I have already responded to your other questions, including this one, as can be seen above, so there is no need to repeat the answer. If you are dissatisfied because I removed your edits when restoring protection, after some reflection I agree that this action was indeed inappropriate."
102,"Regarding 'some other variety and game shows are also translated by subtitle groups,' those are localization groups. Localization groups and subtitle groups are completely different things, with different divisions of labor and roles. As for 'the term subtitle group generally refers to groups that subtitle American TV shows.'"
103,"Under tense, anxious, and chaotic circumstances, it marked the beginning of the creation of the character 'Doraemon.' What became the beginning of the creation of the character 'Doraemon'? This sentence lacks a subject."
104,"As you said, 'everyone is too unfamiliar with this term.' However, I think that anyone with a bit of historical knowledge would not be unfamiliar with the concepts of China's main territory and the eighteen inland provinces."
105,"A few days ago, a friend told me that someone recommended this entry to become a featured article, and I was quite puzzled at the time. First of all, thanks to Sunrisezihan for paying attention to the entry—it's a very happy thing when one's efforts are noticed."
106,"Among the translations of Shakespeare, the ones that can be presented are by Zhu Shenghao or Liang Shiqiu. The 'Yang Naidong' mentioned in the entry did not translate Shakespeare directly; it has been passed through several hands and is far from the original flavor."
107,"Sorry for the delay since the end of 2017. Please check the polishing work on this paragraph. Some sentence breaks have been adjusted to better match the rhythm of the song, some unnecessary 'de' have been removed, and the positions of some words and meanings have been shifted. 'The violent machine is in chaos' still needs to be adjusted in the future."
108,"The content of the article is definitely eye-catching, but there are also many issues. The main problem is the structure—there are still issues with what Wu Tieliang said; there are also some detail problems, such as the delicate-looking Wu Jingyu being described as a weightlifting champion."
109,"Because the web version has a blue theme, my personal impression is that Bilibili's theme color is blue. People who often use the app might think the theme color is pink. 2233 girls are also blue."
110,Mother Fan Chengxiu was a descendant of Fan Zhongyan. This is fundamentally impossible to verify.
111,"The section about China is clearly lacking in neutrality, which may be related to the sources. The official history books of the Chinese Communist Party often use impassioned rhetoric and inflammatory language to stir up nationalist sentiment, but such sources do not meet Wikipedia's neutrality requirements, hence the POV tag."
112,"This is my first time writing an entry of this length, thank you all! Regarding the issue raised by Z7504, I personally feel that the English Wikipedia article... needs to be reviewed again. After being rated as GA, some overly detailed sections were added, and mainly those haven't been translated."
113,"For the section on 'administrative divisions', it is recommended to redraw the map. The original map arranges the prefecture-level cities in pinyin order, which makes it visually overwhelming and very inconvenient to read when looking them up on the map."
114,"In addition, the way the article cites foreign-language sources does not comply with Wikipedia's policy on verifiability regarding non-Chinese sources, as it neither uses publicly published translations nor translates Japanese sources. Many parts also lack source references."
115,"However, a ship does not necessarily need to have paddles to be called a ship. Furthermore, its propulsion system may include a turbine engine or a propeller. Please refer to the definition of a ship."
116,"The concept of peasant uprisings is part of the Chinese Communist Party's historical perspective; before the 20th century, China did not adopt this viewpoint, nor do foreign historians. If it must be written, it should be pointed out that this is the CCP's historical perspective, rather than using 'peasant uprising' to replace other viewpoints."
117,"May I ask why Wcam always protects the article? The article records the history of Central University tracing back to the national academy during the Six Dynasties period, it's just stating facts. 'According to the official historical evolution during the National Central University period, the school's predecessor can be traced back to the Nanjing Taixue established in 258 AD.'"
118,"Did you understand what I meant? What I'm saying is that the provinces of mainland China shouldn't be listed separately, otherwise it wouldn't be a cross-strait and four-region epidemic comparison chart. Moreover, the content of this chart overlaps with the mainland case entries, so it shouldn't be included in this entry again."
119,"The two images above (especially the new one) do not contain any wording or grammar that violates the PB guidelines, either in terms of phrasing or composition. Moreover, there is no violation based on constitutional documents from the two sides of the strait and the four regions."
120,"Many issues should not be addressed through policy, but through common sense (writing common sense). The paragraph above is obviously problematic. For example, repeatedly using 'Marx' as the subject is clearly incorrect."
121,"In the section on the controversy over the status of Cantonese, only one source link is provided, and no sources are given for the three viewpoints mentioned in the text. The writing clearly leans toward refuting the third opinion, so a neutrality dispute template has now been added."
122,"As shown in the above conversation, another user and I have disagreed for months on whether it is appropriate to place this title under the 'nickname' column. I have already explained the reasons why the title should be retained."
123,"What the heck is a free area? LOL... No need to talk about the excuse for the Han Kuang exercise, everyone already knows."
124,"A turning point in the study of electromagnetic phenomena occurred in the second half of the sixteenth century, when (natural) philosophers discovered a method to (scientifically) critique knowledge that had gone untested for thousands of years. However, before that, Peregrinus had already made some significant contributions."
125,"Under the main premise of focusing on Chinese entries, I hope friends who have the capacity can help keep an eye on the English entries. I've been over there for a day already, and it's honestly hard to look at. Now the number of rioters has been changed to 8, which is baffling and impressive at the same time."
126,"Your suggestion is very good, I accept it. At the time, I considered this to be a Chinese entry and wanted to reflect a Chinese atmosphere as much as possible, so I did not keep the English title, but it ended up being a regret. Recently, I have been busy with work and unable to continue editing, and I haven't been on Wikipedia for a long time."
127,"Try to use the most common names for people, objects, or matters, but do not confuse them with the names of other people or objects. If there are things with the same name, a disambiguation page can be used."
128,"""Wuwuzela"" is currently the most commonly used term, as confirmed by a Google search. However, the term ""wengwengzula"" is also widely used, so there's no need to change it. As for the translation of names, Wikipedia should adopt the commonly used ones rather than creating new translations there—this should be beyond doubt."
129,"The [citation needed] for this passage—'For example, at certain key times each year, software like Wujie may not be able to connect properly or may connect extremely slowly, and at such times, normal internet connectivity between domestic and international networks may also be disrupted.'—should probably be removed, as circumvention software always fails around June 4th each year."
130,"After the revision, there is an error in one of the reference sources. Reading experience varies from person to person. The character introductions feel a bit long overall (too many characters), and some characters don't seem worth introducing, like the weather forecast robot. The wife and adopted son in the Gadget case can be briefly mentioned."
131,"For a musician, the entry should primarily focus on their personal musical career. The related content is directly about his band, not about him personally. I also considered that the related content might be too trivial, so I didn't include it."
132,There is no ambiguity in Guizhou. Guangzhou is absolutely unequal and ambiguous. The situation is similar to New York.
133,"Then may I ask, should Karajan's full name be 'Herbert of Karajan'? Should Schumacher be translated as 'the shoemaker guy'? Should Schwarzenegger be translated as 'black egg'?"
134,"The National People's Congress bypassed the Hong Kong Legislative Council and unilaterally enacted the Hong Kong National Security Law, which was gazetted and came into effect on the night of June 30, 2020. It originally had the authority to legislate without going through the Hong Kong Legislative Council, so how is it considered bypassing? It was precisely because the Hong Kong Legislative Council failed to fulfill its constitutional responsibilities."
135,"I am retracting the edit that deleted the lyrics and restoring the lyrics section. Due to ongoing confusion regarding the copyright issue, I plan to make relevant edits only after the matter is settled. In addition, the translation of the 'Lyrics Copyright' section has been completed. Therefore, no further translation assistance is needed. Thank you."
136,"Donews is not a state media outlet. The Xinhua News link only introduces the General Secretary of the CPC Central Committee and members of the Politburo Standing Committee, which has nothing to do with the government. I hope you are not doing this on purpose."
137,"By the way, I discussed the part about the duke's illegitimate child with them on the English article's talk page. The people who responded to me all thought that the description was quite suspicious and said it was over the top."
138,"To naturalize, you must first renounce your original nationality and wait for the naturalization to be approved. If it is not approved, you can then restore your original nationality. Now, you don't have to change your name, because Japan recognizes the creation of surnames, so having a Chinese surname become a Japanese surname is no longer impossible."
139,"Greater China is primarily an economic concept, rather than a geographical or political one. I believe moving it to 'Greater China Region' seems more appropriate. A Google search shows that results for the keyword 'Greater China Region' are three times more than those for 'Greater China Area'."
140,"The Ragnarok Online job list page was nominated for deletion on September 27, 2012, and was deleted on October 4 of the same year (please refer to Wikipedia:Articles for deletion/Log/2012/09/27#Ragnarok Online job list). Accordingly, I will remove the split template."
141,"New source has arrived! The Chinese Communist Party News Network reports that the Korean ethnic group has a population of 1,920,597. The Korean ethnic group is mainly distributed in Jilin Province, followed by Heilongjiang Province and Liaoning Province, with some scattered in the Inner Mongolia Autonomous Region."
142,"Would naming it by date be more neutral? For example, 'Kabul 8·16 Incident', 'Afghanistan 8·16 Incident', 'Kabul Xin Chou Incident', 'Afghanistan Xin Chou Incident', etc."
143,"Let me just ask one thing: how can a convicted criminal escape and then retract their confession, and why should a document with no evaluations be assumed to be correct? ""That's what you said yourself, I didn't make it up."""
144,"""Her half-sister Mary became her attendant."" ""Elizabeth and Mary both became Edward's servants."" I have never seen such a record before."
145,"Is 0 a triangular number? I looked it up, and the current version of the Chinese Wikipedia does not include 0 as a triangular number, but some versions of Wikipedia in other languages do, while others don't. OEIS includes it, but MathWorld does not."
146,"According to the conventions of the Chinese Wikipedia, game entries titled 'XXXX series' focus on introducing the game works and their development history, while characters with the same name are usually introduced in separate entries. The current article combines the characters and the list of works, and the character list is way too long, making it difficult to read."
147,I think you got something wrong. The staff has always allowed independent entries. One thing newcomers to Wikipedia need to learn is to click on the linked text to go to another article to continue learning.
148,“The most important thing is to base the national legitimacy and foundation on Dangun... Whether Dangun actually existed is secondary; the primary goal is to establish the subjectivity.” The wolfish ambition is obvious. I write this comment.
149,"Their real intention is not about the wine, and whether there is truly a dispute is completely unimportant. As long as it serves their purpose, they take things out of context, pick what serves their agenda, and ignore anything that is unfavorable to them. There is no rationality or logic to speak of."
150,"In response to the questions from Norta and Game1524. Since Volume 5 has been officially released in Taiwan, the new characters appearing in Volume 5 have been unsealed. However, the content from Volumes 6 to 8 must still be managed."
151,"Perhaps the term 'Greco-Persian Wars' comes from a direct translation from English, but in Chinese, the naming of wars is based on the country that declares war versus the country being declared upon. For example, the German-Soviet War, the Russo-Japanese War. Since this war was initiated by Persia, calling it the Persian-Greek War would be more accurate."
152,"I have always maintained an inclusive attitude. In the case of a fruitless discussion, it is best not to unilaterally delete large sections of the entry. The main reasons for my initial edits have already been clearly stated."
153,The role of Wikipedia is to share knowledge. It is not for promoting personal opinions. Perhaps you have a different understanding of the Bible.
154,"""Apple TV"" is not the official Chinese product name; Apple subsidiaries in Chinese-speaking regions also use Apple TV as the standard trademark. There is no need to forcibly change it to a Chinese entry name."
155,"It doesn't matter how you or I argue; what matters is that what's written on Wikipedia must have reliable sources and comply with NPOV. Regarding the two or three sides, it's mainly about the two sides of the Taiwan Strait—either list both viewpoints or handle it ambiguously/silently to comply with relevant Chinese Wikipedia policies."
156,"I don't dare to rashly edit the entry, I just have some doubts about whether this entry has the level of professionalism I expect. I think this entry may not reflect the modern academic view on logic."
157,"Revise and streamline the content. Add sources or papers to each section that requires references. Merge the structure and classification chapters, move them before the functionality section, and add a short chapter on impact."
