,translated_text
109,"Maputo, Mozambique, July 18 — Portugal's Minister of Environment, Spatial Planning and Regional Development, Francisco Correia, said on Monday that Portugal plans to provide Mozambique with a €5 million grant to fund research into building a dam on the Pungué River in central Mozambique."
110,The question is: it's small and far away from us—how can we see it from Earth with the naked eye?
111,"In Italy, we don't have automatic transmission cars, so when I turned on the switch there was a loud noise and it moved backward."
112,"I've almost lost everything, and I might even be hanged."
113,"Another expression is ""between the devil and the deep blue sea"" (进退维谷), which means having to choose between two things that are about equally dangerous."
114,"According to Abdullah, the entrepreneur Mo will attend business meetings in several German cities, such as Berlin and Stuttgart, during his visit and will take part in some networking meetings."
115,"Since that's the case, why not put everything into action?"
116,Humans probably evolved from ancestors who lived in trees.
117,"""The Election Commission,"" he said, ""must ensure they are operating within a fair system, that ballots are counted and properly compiled, and that results are announced at the polling stations."""
118,"Coming in second is veterinarian, with a median salary of $84,000 and an expected employment growth rate of 36%. Veterinarians often prefer dealing with animals rather than people. The job gives them the opportunity to interact with their favorite animals and, in many cases, to treat sick animals. But veterinarians spend a lot of time on their feet during the day, sometimes have to work in harsh outdoor conditions, and must cope with the stress of seeing animals they love become ill and die—factors that keep this job from taking the top spot on the list."
119,"Think of the nuisance of their loud cries, the stench, and all their various misdeeds! — They bite at anything, knock over trash cans, and leave garbage strewn everywhere."
120,"Each organization has its own BI tools and infrastructure, funded through its own budget and driven by its own metrics and priorities."
121,"Then, you can use these keys to continue finding other matches (n) and select the repeat text operation (.), which works very similarly to the Find Next/Replace function in Word."
122,"Although his works are sometimes full of violence, Hayao Miyazaki's pacifism and anti-violence sentiment are embedded beneath the surface of the stories."
123,"A North American herbaceous plant with tender, deeply divided leaves. Its flowers are creamy yellow and densely borne, arising from small tubers on the rhizome in racemose inflorescences."
124,"Methods: We measured peripheral blood CD4- and CD8-positive T lymphocytes and sIL-2R levels in 24 patients with active ulcerative colitis. In 10 of the patients, sIL-2R levels were compared before and after treatment."
125,And the holiday on the third Monday of January is also named after him.
126,"Eat something you like, such as chocolate cake or ice cream."
127,Many times we do not receive the blessings God has already prepared for us because we do not step forward to accept them.
128,"Nowadays, farmers must dig deeper to obtain water in order to irrigate more land."
129,"Yan'an was the base of Mao Zedong, Deng Xiaoping, Zhou Enlai and other leaders. There she adopted the name Zhuo Lin, joined the Communist Party in 1938 and married Deng in 1939; Mao Zedong also attended their wedding."
130,"Some people's hats, like their brains, are easily blown away."
131,"Sleep apnea syndrome: the heavier a person is, the more severe the condition becomes."
132,"The deployment of voicemail systems in prefectural and county bureaus within the local network has been affected by funding and technical constraints, which has hindered the development of this service."
133,"Block 14 is operated by Chevron (31%), and the remaining stakes are held by Sonangol (20%), Italy's Eni (ENI) (20%), France's Total (20%), and Galp (9%)."
134,He expects bilateral trade to further increase. He said that Brazil should export more food to Macau because Brazil's food industry is very competitive.
135,"Now, only a few days remain until the 54th Grammy Awards, which will open in the United States on February 12."
136,"James Ker-Lindsay: 'Yes, many Serbs consider Mladić, in a sense, a kind of hero.'"
137,"Now, Wang Chen regards playing Go as one of his hobbies. He is the president of the campus Go club, which has five members. Under his leadership, the club members play games every week to study the latest opening formations."
138,"A lonely state of mind is like an inextinguishable sorrow, yet it has a specific referent; it is a sorrow born of the absence of anyone in the life that ought to be mutually filled with care and deep understanding."
139,"Whenever he had free time, Cai Wei would go to the library to study. Because many of the ancient books there were unique copies that could not be borrowed, Cai Wei had to copy them out volume by volume. All of this effort stemmed from his passion for studying ancient Chinese characters."
140,"O LORD, when I argue my case with you you are in the right. But there is one thing I would still discuss with you: Why do the ways of the wicked prosper? Why are those who practice great deceit at ease?"
141,"I. A. Richards (1893–1979) was an important British theorist and literary critic; his semantic theory had a profound influence on literary criticism in Europe and America, especially the New Criticism."
142,"If you don't take the first step now, it will be even less likely later."
143,Gong Zizhen was an outstanding Enlightenment thinker in modern China and also a scholar of the 'encyclopedist' school.
144,"The fishermen try their luck in ponds, lakes, and rivers."
145,"To seek the truth behind the deaths and disabilities of the victimized children, some parents traveled specifically to Taiyuan, the capital of Shanxi Province."
146,"Over the years, the various versions of Superman have not been fundamentally different from the Superman who first appeared in 'Action Comics' #1; the exceptions are only those stories about parallel universes and 'Elseworlds', such as the fascinating 2003 mini-series 'Red Son'. That series explores what might have happened if a Kryptonian rocket had landed in the Soviet Union rather than the American Midwest. Likewise, Superman's mythology has been continually tweaked and rewritten (most recently in the 2009 'Secret Origins' series), and was further expanded in the bestselling graphic novels 'Superman: Earth One' Volumes One and Two (2010, 2012). One thing that always seems unclear is the number of survivors after Krypton's destruction, survivors who include heroes (Supergirl), villains (General Zod), and even animals (Krypto the Superdog)."
147,"Fernando Tere owns 20% of the shares, and Brazilian businessman José Ruas owns 10% of the shares. Some Angolan investors own 5% of the bank."
148,"Nike said nine national teams will wear jerseys made from polyester fibers recycled from used bottles, including Brazil, one of the most popular teams."
149,How much of a deposit should we pay to buy this house?
150,Studied the production process of low-sugar candied kidney beans.
151,I'm surprised that advertisers and publicists can't get the message across.
152,"For the past ten months, we have been discussing information about various aspects of studying in the United States."
153,"If the cosmetic surgery made him look unbearable to behold, the subsequent child abuse case turned him into the target of public outrage. At that time he was completely crushed by legal and financial disputes. Thus, after the child abuse case concluded in 2005, he resolutely chose to live in seclusion."
154,"It is precisely because of these two reasons that two beautiful lives were thus lost in the smoke of history, leaving people with boundless reflection and melancholy; therefore it can truly be called a tragedy of fate!"
155,"By then four people had already arrived: three were sitting on the bed and one was standing by the doorframe. All four had bare arms, stood motionless, and had their faces smeared black."
156,"I don't know how they view this matter or what they tell the public, but I know the facts."
157,"Each pair of couplets is preceded by a standardized number, the author, and the title."
158,"In the bedroom, colors, materials, and lines are all unified under an elegant, minimalist design theme. The overall environment is gentle and sweet. The choice of lighting revolves around the design theme, filling the space with the rhythmic sense of fashionable living and reflecting a harmonious aesthetic. The careful selection of furniture and accessories further demonstrates the designer's meticulous attention. The abundant use of white is bold and full of spirit, creating a rich, simple yet warm home atmosphere. The flexible small furniture is simple, practical, and lively, arranged with varied, bright, and playful rhythms. The whole space is tranquil and suffused with a sense of joy."
159,"Based on the results obtained so far, it appears that people's preferences for the bright colors used on the iPhone 5C are, in order, sapphire blue, lime green, banana yellow, and watermelon red."
160,"The New York Times reported that they are all current screen trendsetters, 'abandoning the last-century Disney practice of adapting unsettling folk tales into wholesome animated musicals'."
161,Miranda told reporters that she thought retaliatory measures could not be implemented in this situation. There will be no ban. European airlines will continue to operate normally.
162,"United Nations statistics show that the population will reach 10 billion by 2100, on the assumption that the world's birth rate by then has converged to the ""replacement level"" — that is, people only raise enough children to replace themselves."
163,U.S. pharmaceutical giant Merck has agreed to pay nearly $1 billion to settle claims over the improper marketing of the painkiller Vioxx.
164,"When Wang Hongyi and his team members were building the sixteen-rotor drone, they lived together in the laboratory."
165,"The foodservice industry is enormous: in the United States alone, annual revenue reaches as high as $630 billion."
166,"In addition to needing skills and patience, recent graduates will also encounter many different situations."
167,"Results: About 60% of respondents had a positive attitude toward whether government departments should provide contraceptive services to unmarried young adults, about 36% had a negative attitude, and in some provinces and cities the proportion with a negative attitude exceeded 50%."
168,"['This is the search for a pristine, natural wonderland where one can live freely.']"
169,Sinopec Group currently controls more than 5 million tons of oil in West Africa.
170,We are looking for reliable and hardworking people.
171,"Without water and out in the sun, I'll die soon."
172,"Wang Qi, assistant project manager at Ximaike International Exhibition Company, said, 'Brazil is the key to opening the South American market.'"
173,"The University of Minnesota's new campus in Rochester has defined teaching as its ""first job""."
174,"Mr. Green always acts overbearing. In fact, he's a good-for-nothing."
175,A member of my team is unhappy that an industry newcomer became the boss and is waiting to stab me in the back.
176,"We were once again given a grand and warm reception and boundless hospitality, and I am once again very pleased to express my deep gratitude to our hosts."
177,"At the reception, Ambassador Cai delivered an enthusiastic speech to the overseas compatriots who have always cared about the construction of the motherland."
178,"The South Korean government said it is willing to send tens of thousands of tons of emergency food aid to impoverished North Korea. This aid fulfills an agreement between the previous South Korean government and North Korea, but may not resolve the stalemate between Pyongyang and incumbent president Lee Myung-bak."
179,"But beneath the surface, the CIA officer conducts an ongoing—and often ruthless—assessment of the target candidate's ambitions, fears, and desires."
180,"The Matola oil terminal's annual throughput is 1 million tons, and after expanding the facilities it is expected to increase to 5 million tons per year."
181,"Two things that can be stated with certainty about sleepwalking are that it is a symptom of emotional disturbance, and the only way to cure sleepwalking is to identify the causes that lead to anxiety and worry."
182,"The LORD said to Moses, ""Come up to me on the mountain and stay there; I will give you the tablets of stone and the law and commandments that I have written, so that you may instruct the people."""
183,"In specific acid-catalyzed reactions, undissociated acids are ineffective."
184,Your suggestion regarding the resolution of the claim is satisfactory; we have accepted it.
185,Did you send it back to the underworld king's bedchamber where it came from?
186,A fresh coat of paint will make this old bicycle look brand new.
187,"At the ceremony, each Swedish town and school chooses a long-haired girl to wear Saint Lucia's crown of candles."
188,"De Morais said, 'What we consider unfair is that, because of these choices, some people call us non-transparent, corrupt, and so on.'"
189,"Some people, in order to refute their opponents, will go so far as to use any illogical argument."
190,"I like this subtle feeling. I like watching the pale fresh green on the branches; it is the messenger of spring, the beginning of a morning..."
191,"I don't have a squeaky voice, so it's hard for me to imitate."
192,"Improve your native language proficiency — I know this may sound unreasonable at first, but please listen as I explain slowly."
193,"Infiniti, which debuted in the late 1980s, now has its own following; however, its brand strength still lags significantly behind BMW, Lexus, and other luxury marques."
194,"On the other hand, the organization ""encourages"" the Mo government to draft a ""fiscal"" law for the mining and oil sectors."
195,"Mr. President's statement is actually outdated, because poultry farmers in Europe, the United States, and other countries stopped using hormones to feed chickens decades ago."
196,"In other words, you can use a red image to represent product A and blue to represent product B; you can then use a pie chart to compare how many people buy product A versus product B. In a graphic or chart, each part of the figure represents different content."
197,"The central idea of this film is very clear: even if a person's ambition is fulfilled, if they lose the meaning of life, what has been gained?"
198,"The continuous publicity in the newspapers made the Felton-Ross Company overjoyed, and all of this firmly set both the medicine and Celia herself on the road to success."
199,"At the end of last year, beverage maker Coca-Cola Co. launched a ""collector's edition"" Diet Coke can printed with the Grammy winner's signature and one of her lines: ""People who stand out are the lucky ones; never be quick to change."" Swift enjoys very high recognition among consumers (82%), and her Q score is 20."
200,"Last Friday, Zhang Peng, a business consultant from Beijing, used the Qihoo 360 browser to buy a train ticket to Jinan."
201,That tennis player hit the ball so hard that it flew out of the court.
202,"The results show that among the post-cutting regeneration morphological indicators, the autumn regrowth height—used by other researchers to assess autumn dormancy—has a low correlation with cold resistance, with a correlation coefficient of only -0.389. By contrast, early growth amount and the autumn plant morphological index both showed significant correlations with cold resistance (R = -0.828, R = 0.838, P"
203,"Now, money is pouring in and he lives a carefree, easy life."
204,"In 2010, because food prices surged for the second time in three years, governments, relevant international agencies and non-governmental organizations loudly announced a striking new fact: the number of hungry people in the world had reached one billion, and they considered this situation a disgrace at a time when global food production was ample. The UN Food and Agriculture Organization had estimated that figure in one of its annual reports; they even made a 50-foot banner reading ""One Billion Hungry"" and hung it on their headquarters in Rome. It is indeed not a glorious thing that up to one billion people in the world are hungry, but accurate data indicate that ""one billion"" is not a fact. This week, in the 2012 State of Food Security report, the FAO quietly revised the number of hungry down to 868 million, bringing it back from the spike in 2008–10. The table above shows the latest set of estimates (left) compared with 2010 (right). The specific comparison is somewhat complicated because some of the lines in the two charts do not represent the same periods, but the overall change is clear: tracking world food prices shows that although there were large price fluctuations in 2008–10, the number of hungry people worldwide remained at a relatively stable level in the first decade of the 21st century. In developing countries, the latest estimate of the number of hungry people after the food price surge is actually slightly lower than before the price increases, falling from 885 million in 2004–05 to 852 million in 2010–12."
205,"If someone unexpectedly popped up and asked you, 'Is Tianjin Wei coming out?'"
206,I have abdominal bloating after appendicitis surgery. What is the cause?
207,"According to data from e-commerce price-comparison site Decide.com, so far buyers have come out about even in the price game — roughly half of price changes are reductions and half are increases. Decide.com tracks product prices around the clock to determine the best time to shop."
208,"You just need to know that the overhead of full transaction propagation is greater than that of read-only propagation, but it is also safer and required for certain types of updates."
209,"On August 31, during a test of the Jinqu Engine-2, the world's largest solid rocket motor in both size and thrust, searing waves of flame churned. According to NASA's website, the engine was originally designed to fly."
210,"In the image above, a protester is vandalizing a propaganda poster of Libya's national leader Gaddafi in eastern Libya."
211,"Next month, we will take an in-depth look at how to write our own custom components using JSF, and conclude this series."
212,"Da Mata explained that about 60% of the visitors are business travelers, but they make full use of those trips and engage in some leisure activities. Compared with sun-and-sea tourism, Chinese tourists prefer rural tourism."
213,"2,4,6-tris(hydroxymethyl)phenol was condensation-polymerized with benzo-crown ether to form a phenol–formaldehyde-type crown ether polymer."
214,"Economic data is highly encouraging, but it masks an economy that is painfully struggling; firms' destocking pace may indeed gradually slow, but there is currently no sign that they plan to invest to increase production in the future."
215,"A flurry of 'rose petals' drifted down from the sky, and at the same time a small box containing a ring fell."
216,"What about our English participant? We can remember him just as well. For us, the distinction between doing something intentionally and doing it accidentally isn't that important. Someone has to be held accountable."
217,"Ag-inorganic nanocomposites exhibit excellent performance in optical nonlinearity, light absorption, photoluminescence, and related properties."
218,Robert is 44 and still single; clearly he's not the kind of person who's eager to get married the way a duck loves water.
219,"At the next exhibition, Yanyan went to Germany, and Yansi told her about his living situation and his country."
220,"[""If even literature couldn't save Spider-Man 3, can a Pulitzer Prize winner save the Spider-Man series?""]"
221,"According to the Prime Minister's office, the report said Ibrahim tried to flee the city of Bani Walid, which was the late colonel's former stronghold and has been under siege by forces from the neighboring city of Misrata for the past few weeks."
222,Horne added: 'People think waking up in the middle of the night is a bad thing; this modern belief actually harms our sleep quality.'
223,"In any case, I think doomsayers are mostly wrong, but this is a warning that deserves attention."
224,"The reason the Chinese attract attention is not that they care about nothing but making money, so when even the Chinese government considers Linfen a garbage dump, you'll realize how serious the problem is. Most parts of China use coal as fuel, and much of that coal comes from Linfen."
225,He's so chauvinistic; he never admits he's wrong.
226,"Thanks to A-list star Antonio Banderas lending his voice, the cat has a charming Spanish accent."
227,Andrew Carnegie's generosity touched the lives of almost every American.
228,I know Governor Romney also went downtown; he bought several shopping malls.
229,"Anyway, if you develop a wart in the future, talk to your healthcare professional about duct tape."
230,"Then, with your right hand on your hip, massage 36 times with your left hand, using the same method as above but in the opposite direction."
231,"As the professor said, building an international brand is a long and arduous task."
232,"By leveraging brand awareness and explaining the fundamental reasons for the product's excellence, you can elevate its position in consumers' minds above all competing products."
233,U.S. lawmakers are demanding that taxpayer protections and congressional oversight be added to the $700 billion financial-institution bailout plan proposed by the Bush administration. Democratic lawmakers and some Republicans have expressed dissatisfaction with the initial plan proposed by the Bush administration.
234,We don't know where it came from; we only know that he possesses the power to create worlds. It brought the fire of life into the various worlds.
235,"'Profound and boundless, truly hard to fathom,' this Shurangama Mantra is extremely mysterious; its transformations are also incredible and not easily measured."
236,"Look at these nobles dressed in gold and silver, and then think of the thousands upon thousands of poor people among us."
237,The madman threw away his watch and wallet.
238,He was studying how to generate electricity from spinach when a group from a small bioengineering company came to him to discuss generating electricity from trees.
239,"Although we're still a long way from giving everyone enough food and energy, let alone making them safe or cheap, software is an exception because copying is essentially free."
240,"I want to swim in the river, drink goat's milk, talk with wizards, do a little reading of some Chinese books, stroll around the valley, and chat with the farmers and their children."
241,"Restrictions on foreign ownership not only stifle the efficiencies brought by corporate consolidation, but also mean that no single airline can hold more than a single-digit percentage share of the world market."
242,Your father will be furious when he finds out what you did.
243,"The Committee elected Syed Amjad Ali as Chairman by acclamation, and Mr. Peter Gregg as Vice-Chair."
244,"Our likely reaction to this is to try to spend as much time as possible with our partner and to minimize commuting time to and from work, but this is a short-sighted approach."
245,"This section applies basic principles such as dialogic theory, constructivist theory, and educational ecology, combining 'theoretical exposition' with 'practical examples', and identifies three major approaches to solving the problem of aphasia: combining character cultivation and composition, and optimizing the direction and level of writing motivation;"
246,"This guideline effectively extends the authority to diagnose and manage to non-specialists, while also taking their busy schedules into account."
247,"Galliano was originally expected to attend Dior's 2011 autumn/winter show; Dior announced the show will go ahead as scheduled, but Galliano will be absent."
248,"When your passion aligns with your values and beliefs, obstacles become opportunities, and high walls turn into fences you can climb over."
249,"Unless the spell is broken, Finola cannot leave there."
250,"But by the end of 2011, smartphones had become widespread, and Facebook users were spending less time on computers. Peter Thiel, a Facebook director, one of its earliest investors and the founder of PayPal, said the IPO process highlighted how quickly users were shifting to mobile devices. At the time, Facebook's executives worried that the company would be left far behind at an astonishing pace."
251,"By the 1980s, punk rock had reached its heyday."
