,utterance_id,utterance,avg_labeled_utterance,labeled_utterance,engagement_markers,frame_markers,transitions,self_mentions,hedges,explicit_references,deontic_modal_words,boosters,situation_dependent_references,positive_connotations,chronological_markers,attitude_markers,causal_markers,adverbs_of_degree,slang_and_colloquialisms,place_time_svo,code_glosses,evidentials,emotional_self_disclosures,idioms,negative_connotations,figurative_language,endophoric_markers,hedges_adverbs_of_degree
16,u121556,It must be in a box someplace.,3.0,It must<boosters><deontic_modal_words> be in a box someplace.,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,u150593,""" If this is where the monarchy is headed",5.0,""""" If this is where the monarchy is headed""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,u130300,"Our ability to live on planet Earth, to have a future as a civilization.",1.0,"Our<self_mentions> ability to live on planet Earth<explicit_references>, to have a future as a civilization.",0.0,0.0,0.0,0.013888888888888888,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,u202324,"Oh, it's the same, as it's always been.",4.0,"Oh, it's the same, as<causal_markers> it's always<boosters> been.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,u133098,"You know, I just had to make a little pit stop at the crime lab.",3.0,"You<engagement_markers> know<engagement_markers>, I<self_mentions> just<boosters> had to make a little<hedges> pit stop at the crime lab.",0.03125,0.0,0.0,0.015625,0.015625,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,u2276,"OK sir, what year was it, first of all? That's why I start with a gentleman first.",4.0,"OK sir, what year was it, first of all<frame_markers>? That's why<causal_markers> I<self_mentions> start with a gentleman first<frame_markers>.",0.0,0.024390243902439025,0.0,0.012195121951219513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012195121951219513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,u49050,"But many of them are just here, because they don't have money.",4.0,"But<transitions> many<boosters> of them are just<boosters> here, because<causal_markers> they don't have money.",0.0,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,u178834,"And I hope you don't mind, but we like to pay cash in advance.",2.0,"And<transitions> I<self_mentions> hope<attitude_markers> you<engagement_markers> don't mind, but<transitions> we<self_mentions> like to pay cash in advance<chronological_markers>.",0.016129032258064516,0.0,0.03225806451612903,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,u144425,What did you want us to do?,2.0,What did you<engagement_markers> want us<self_mentions> to do?,0.037037037037037035,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,u259990,"Tempers would flare, people would start getting hurt.",2.0,"Tempers would<hedges> flare, people would<hedges> start getting hurt.",0.0,0.0,0.0,0.0,0.03773584905660377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,u209521,"Borte, I can ' t stay away from you.",1.0,"Borte<explicit_references>, I<self_mentions> can<deontic_modal_words> ' t stay away from you<engagement_markers>.",0.027777777777777776,0.0,0.0,0.027777777777777776,0.0,0.027777777777777776,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,u175442,Is this because of what you did with my grade?,4.0,Is this because<causal_markers> of what you<engagement_markers> did with my<self_mentions> grade?<engagement_markers>,0.043478260869565216,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,u27653,no toilet -- the families in this compound shared a single pit-latrine --,1.0,no toilet -- the families in this<situation_dependent_references> compound shared a single pit-latrine --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,u278657,A lot of people to suck up to.,2.0,A lot<adverbs_of_degree> of people to suck up to<slang_and_colloquialisms>.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,u155610,This one speaks for us that we may talk to you as a man.,4.0,This one speaks for us<self_mentions> that we<self_mentions> may<deontic_modal_words> talk to you<engagement_markers> as a man.,0.017857142857142856,0.0,0.0,0.03571428571428571,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,u112301,"It may even be, for one particular sector of society.",5.0,"It may<hedges> even<attitude_markers> be, for one particular sector of society.",0.0,0.0,0.0,0.0,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,u50327,"So really, this is how I would like to describe it.",4.0,"So<causal_markers> really<boosters>, this is how I<self_mentions> would<hedges> like to describe it.",0.0,0.0,0.0,0.0196078431372549,0.0196078431372549,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,u273162,Get back to me about the Dallas affiliate problem.,4.0,Get back<frame_markers> to me<self_mentions> about<hedges> the Dallas<explicit_references> affiliate problem.,0.0,0.02,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,u123620,Small Jacuzzi on the fucking small yacht.,1.0,Small Jacuzzi on the fucking<slang_and_colloquialisms> small yacht.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,u190186,"Well, you didn't stay in the car, did you?",3.0,"Well<frame_markers>, you<engagement_markers> didn't stay in the car, did you<engagement_markers>?",0.047619047619047616,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,u198609,If we cannot protect our humans that makes us no weak.,3.0,If we<self_mentions><engagement_markers> cannot<deontic_modal_words> protect our<self_mentions><engagement_markers> humans that makes us<self_mentions><engagement_markers> no weak.,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,u189045,"We have some VlPs coming in from out of town, and when they arrive, which won't be long now,",4.0,"We<self_mentions><engagement_markers> have some VlPs coming in from out of town, and when they arrive, which won't be long now<frame_markers>,",0.010869565217391304,0.010869565217391304,0.0,0.010869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,u32159,"of what Africa looked like between 60,000 and 70,000 years ago,",1.0,"of what Africa<explicit_references> looked like between 60,000 and 70,000 years ago,",0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,u268641,"Fortunately, I had the foresight to save a few.",4.0,"Fortunately<attitude_markers>, I<self_mentions> had the foresight to save a few.",0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,u247235,"But right now,Mr. President,wemust all evacuate the U.N.",4.0,"But<transitions> right now<frame_markers>,Mr. President<explicit_references>,we<self_mentions><engagement_markers>must<deontic_modal_words> all evacuate the U.N.<explicit_references>",0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.0,0.03571428571428571,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,u167651,And it don't make no difference to me,2.0,And it don't make no difference to me<self_mentions>,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,u96664,"China has opened its doors, but it still remains a distant and largely unknown world.",3.0,"China<explicit_references> has opened its doors, but<transitions> it still<transitions> remains a distant and largely<hedges> unknown world.",0.0,0.0,0.023529411764705882,0.0,0.011764705882352941,0.011764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,u31903,"Obviously, I'm the optimist and a big believer in what's going on here,",4.0,"Obviously<boosters>, I'm<self_mentions> the optimist and a big believer in what's going on here<situation_dependent_references>,",0.0,0.0,0.0,0.014084507042253521,0.0,0.0,0.0,0.014084507042253521,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,u28819,it doesn't leave the -- doesn't change the phenomenon of electricity or magnetism.,3.0,it doesn't leave the -- doesn't change the phenomenon of electricity or magnetism.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,u191219,I'm on my way to the marriage bureau.,1.0,I'm<self_mentions> on my<self_mentions> way to the marriage bureau.,0.0,0.0,0.0,0.05405405405405406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,u159244,Why don't you lie on the bed?,1.0,Why don't<engagement_markers> you<engagement_markers> lie on the bed?,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,u124082,What about tolerance and difference... do they mean nothing?,3.0,What about<hedges> tolerance and difference... do they mean nothing?<engagement_markers>,0.016666666666666666,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,u43907,"So I stayed up at night, and I talked to my husband,",1.0,"So<transitions> I<self_mentions> stayed up at night<place_time_svo>, and I<self_mentions> talked to my<self_mentions> husband,",0.0,0.0,0.019230769230769232,0.057692307692307696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,u76330,"If you pour for yourself, you'il never get married.",4.0,"If you<engagement_markers> pour for yourself, you'il<engagement_markers> never<boosters> get married.",0.0392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,u272047,"If we don'tbuy one, they'II all be gone.",2.0,"If we<self_mentions> don'tbuy<engagement_markers> one, they'II all be gone.",0.025,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,u166279,"""Conventional Archetypes of Beauty and Their Effect on the Opposite Sex.""",1.0,"""Conventional Archetypes of Beauty and Their Effect on the Opposite Sex.""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,u193602,And I told him we shouldn't be fucking around down there.,4.0,And I<self_mentions> told him we<self_mentions> shouldn't<deontic_modal_words> be fucking<slang_and_colloquialisms> around down there<situation_dependent_references>.,0.0,0.0,0.0,0.03508771929824561,0.0,0.0,0.017543859649122806,0.0,0.017543859649122806,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,u174585,I want you to know the truth about your mother.,4.0,I<self_mentions> want<frame_markers> you<engagement_markers> to know the truth about your<engagement_markers> mother.,0.0425531914893617,0.02127659574468085,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,u246095,"Then you can get back to it, all right?",3.0,"Then<transitions> you<engagement_markers> can<deontic_modal_words> get back to it, all right?",0.02564102564102564,0.0,0.02564102564102564,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,u99087,I'il make sure he doesn't get drunk and cause trouble again.,2.0,I'il<self_mentions> make sure he doesn't get drunk and cause trouble again<transitions>.,0.0,0.0,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,u277626,"We need to earn that trust, you understand?",2.0,"We<self_mentions> need to earn that trust, you<engagement_markers> understand?",0.023255813953488372,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,u101105,"Never set eyes on a thing in this world,",4.0,"Never<boosters> set eyes on a thing in this world,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,u158444,She put too much of her power into this.,4.0,She put too<adverbs_of_degree> much of her power into this<situation_dependent_references>.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,u133457,Can I count on your best work?,1.0,Can<deontic_modal_words> I<self_mentions> count on your<engagement_markers> best work?<engagement_markers>,0.06666666666666667,0.0,0.0,0.03333333333333333,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,u8071,I ended up in the local bookstore around the corner from our offices.,1.0,I<self_mentions> ended up in the local bookstore around the corner<situation_dependent_references> from our<self_mentions> offices.,0.0,0.0,0.0,0.028985507246376812,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,u211890,"Well, what about most of the time?",4.0,"Well<frame_markers>, what about<hedges> most<hedges> of the time?<engagement_markers>",0.029411764705882353,0.029411764705882353,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,u62352,I'm not a person whose husband beats her up.,1.0,I'm<self_mentions> not a person whose husband beats her up.,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,u147099,I might have even held his head under the water.,4.0,I<self_mentions> might<hedges> have even<attitude_markers> held his head under the water.,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,u149880,"Look, I ain't threatenin' you or nothin', all right?",4.0,"Look<engagement_markers>, I<self_mentions> ain't<slang_and_colloquialisms> threatenin' you<engagement_markers> or nothin'<slang_and_colloquialisms>, all right<engagement_markers>?",0.057692307692307696,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,u276186,"W/ndows, make sure there are no cameras.",2.0,"W/ndows, make sure<engagement_markers> there are no cameras.",0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,u289186,"They're just laughing, what's so bad about that?",4.0,"They're just<boosters> laughing, what's so<adverbs_of_degree> bad about that?<engagement_markers>",0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,u61850,We are drafting a strong denial for you.,2.0,We<self_mentions> are drafting a strong denial for you<engagement_markers>.,0.025,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,u204056,"Well, that's very free thinking of them.",4.0,"Well<frame_markers>, that's<code_glosses> very<adverbs_of_degree> free thinking of them<situation_dependent_references>.",0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,u236553,If it enters at precise pressure points,5.0,If it enters at precise pressure points,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,u27701,And I say that because the system in Turkey is notable.,4.0,And<transitions> I<self_mentions> say that because<causal_markers> the system in Turkey is notable.,0.0,0.0,0.01818181818181818,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,u272988,What the hell do you call that?,5.0,What the hell do you<engagement_markers> call that<situation_dependent_references>?,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,u127408,You're gonna teach me to dance up here?,3.0,You're<engagement_markers> gonna<slang_and_colloquialisms> teach me<self_mentions> to dance up here<situation_dependent_references>?,0.02564102564102564,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,u182148,"Don't make the computer so loud, understand?",1.0,"Don't<engagement_markers> make the computer so<adverbs_of_degree> loud, understand?<engagement_markers>",0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,u183195,"You know, like Charles Dickens, for example, wrote what you might call travel books, but he visited prisons and mental asylums.",2.0,"You<engagement_markers> know, like Charles Dickens<explicit_references>, for example<code_glosses> wrote what you<engagement_markers> might<hedges> call travel books, but<transitions> he visited prisons and mental asylums.",0.015748031496062992,0.0,0.007874015748031496,0.0,0.007874015748031496,0.007874015748031496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007874015748031496,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,u50137,and we got an architect and we got a general contractor,1.0,and<transitions> we<self_mentions> got an architect and<transitions> we<self_mentions> got a general contractor,0.0,0.0,0.03636363636363636,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,u42703,we could make all of America's electricity in about 10 years.,2.0,we<self_mentions> could<hedges> make all of America's<explicit_references> electricity in about<hedges> 10 years.,0.0,0.0,0.0,0.01639344262295082,0.03278688524590164,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
